,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
120,5,1.0,1.0,I don't know,I am not sure,No,No,I don't know,3,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,No,Very open,No,Yes,No,Maybe,No,0,Rarely,Rarely,3,Male,UK,9,Supervisor/Team Lead|Back-end Developer|DevOps/SysAdmin|Dev Evangelist/Advocate,Sometimes
121,3,1.0,1.0,Yes,Yes,Yes,I don't know,I don't know,1,No,No,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,No,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Designer,Sometimes
123,3,0.0,0.0,No,Yes,No,No,I don't know,4,Yes,Maybe,No,Maybe,I don't know,No,1,Maybe,No,Yes,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Female,Germany,9,Full track,Sometimes
126,1,0.0,0.0,I don't know,No,Yes,No,I don't know,5,Yes,Maybe,Yes,No,I don't know,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Yes,I don't know,Maybe,Maybe,No,1,Not applicable to me,Often,3,Female,USA,5,Other,Sometimes
128,4,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,1,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,Maybe,Maybe,No,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Front-end Developer,Sometimes
129,3,1.0,1.0,Yes,No,No,No,No,2,Maybe,No,No,Maybe,Yes,No,1,Maybe,No,Yes,Yes,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Female,USA,5,Other,Sometimes
130,6,0.0,0.0,I don't know,I am not sure,No,I don't know,I don't know,5,Maybe,Maybe,No,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,4,Male,USA,8,Back-end Developer,Sometimes
131,2,1.0,1.0,Yes,No,No,I don't know,I don't know,4,Yes,Maybe,Maybe,No,No,No,1,Maybe,No,Yes,Yes,Not open at all,Yes,I don't know,Yes,Maybe,Yes,1,Rarely,Often,4,Male,USA,7,Full track,Sometimes
132,5,1.0,1.0,No,I am not sure,No,No,I don't know,4,Yes,No,Maybe,Yes,No,No,1,Yes,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,3,Male,USA,1,Back-end Developer,Sometimes
133,6,0.0,0.0,Yes,No,No,Yes,Yes,0,Maybe,No,Maybe,Yes,I don't know,No,1,No,No,Yes,Maybe,Neutral,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Rarely,3,Male,USA,3,Back-end Developer,Sometimes
134,6,1.0,1.0,I don't know,No,Yes,I don't know,I don't know,3,No,No,Maybe,Yes,Yes,No,1,No,No,No,No,Somewhat open,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,2,Full track,Sometimes
135,6,0.0,0.0,Yes,I am not sure,No,I don't know,Yes,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,Maybe,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,3,DevOps/SysAdmin,Sometimes
136,3,1.0,1.0,Yes,No,No,I don't know,I don't know,0,No,No,No,Maybe,Yes,No,1,Maybe,No,Maybe,Maybe,Neutral,No,No,No,Maybe,Yes,1,Rarely,Sometimes,3,Male,USA,3,Front-end Developer,Sometimes
137,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Yes,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,8,Other,Always
138,4,1.0,1.0,Yes,Yes,No,I don't know,I don't know,4,Yes,No,No,No,No,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,2,Female,USA,2,Other,Sometimes
139,4,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,I don't know,No,1,Yes,Maybe,Maybe,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,USA,1,Back-end Developer,Sometimes
140,1,1.0,1.0,No,Yes,No,No,No,5,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,4,Female,Canada,9,Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always
141,3,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Yes,Maybe,No,Maybe,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Supervisor/Team Lead|Front-end Developer,Sometimes
142,5,1.0,1.0,Yes,No,No,I don't know,I don't know,0,Maybe,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Yes,Yes,Somewhat open,Maybe,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,3,Female,USA,3,Front-end Developer,Always
143,3,1.0,1.0,I don't know,I am not sure,I don't know,No,I don't know,0,Maybe,Maybe,Maybe,Maybe,I don't know,No,0,Maybe,No,Yes,Yes,Somewhat not open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Male,UK,9,Front-end Developer,Never
144,3,1.0,1.0,Yes,I am not sure,No,No,No,2,Maybe,No,No,Yes,Yes,No,1,Yes,No,Yes,Yes,Very open,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,7,Supervisor/Team Lead,Sometimes
146,3,1.0,1.0,Yes,No,No,No,I don't know,5,Yes,Maybe,Maybe,Maybe,No,Yes,1,Maybe,No,Yes,No,Somewhat open,Yes,No,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,5,Other|Back-end Developer|Front-end Developer|Designer,Sometimes
147,2,1.0,1.0,Yes,Yes,No,I don't know,No,2,No,No,Yes,Yes,Yes,No,1,Maybe,No,Yes,Maybe,Very open,Maybe,No,No,No,No,1,Never,Often,4,Male,USA,7,Executive Leadership|DevOps/SysAdmin|Back-end Developer,Sometimes
148,2,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,Maybe,Very open,Yes,Yes,Yes,No,Yes,0,Sometimes,Sometimes,3,Other,Canada,9,Front-end Developer,Sometimes
149,6,1.0,1.0,No,I am not sure,No,No,I don't know,5,Yes,Maybe,No,No,No,Yes,1,No,No,Yes,Yes,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,6,Other,Sometimes
150,6,0.0,0.0,Yes,Yes,I don't know,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,No,No,Very open,No,No,Yes,Yes,Yes,1,Never,Sometimes,4,Male,USA,5,Supervisor/Team Lead,Sometimes
153,4,1.0,1.0,Yes,No,I don't know,I don't know,I don't know,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,1,Not applicable to me,Sometimes,3,Male,USA,2,Back-end Developer,Always
155,3,1.0,1.0,I don't know,No,Yes,No,I don't know,1,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Yes,No,Somewhat open,No,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,7,Back-end Developer,Always
156,4,1.0,1.0,Yes,No,No,I don't know,I don't know,2,Maybe,Maybe,Yes,Yes,I don't know,No,0,Yes,Maybe,Yes,No,Not open at all,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,1,Other,Never
157,3,1.0,1.0,No,I am not sure,No,I don't know,Yes,5,Yes,Maybe,Maybe,Maybe,I don't know,No,1,No,No,Yes,No,Neutral,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,Dev Evangelist/Advocate|Support,Sometimes
158,6,0.0,0.0,I don't know,No,No,No,I don't know,4,Yes,Maybe,No,No,No,No,1,No,No,Yes,Yes,Somewhat not open,I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Canada,9,Supervisor/Team Lead|Front-end Developer|Back-end Developer|DevOps/SysAdmin,Always
159,5,1.0,1.0,Yes,Yes,No,I don't know,Yes,2,Maybe,Maybe,No,No,No,No,1,No,No,Yes,Maybe,Neutral,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,5,Support,Sometimes
160,2,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,1,Executive Leadership,Sometimes
161,6,0.0,0.0,Yes,Yes,No,I don't know,I don't know,4,Maybe,Maybe,Maybe,Maybe,Yes,No,1,No,No,Yes,Yes,Very open,Maybe,No,Yes,Yes,Yes,1,Sometimes,Often,4,Female,USA,2,Back-end Developer,Never
162,4,1.0,1.0,Yes,Yes,No,Yes,I don't know,2,Maybe,No,Maybe,No,I don't know,No,0,Yes,No,Yes,Maybe,Somewhat open,Maybe,No,Yes,Yes,No,0,Rarely,Often,4,Female,USA,1,Executive Leadership,Sometimes
163,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,1,Yes,Maybe,No,No,Yes,No,0,Maybe,No,Yes,Yes,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,5,Female,USA,1,HR,Never
164,6,1.0,1.0,Yes,Yes,Yes,Yes,Yes,3,Maybe,No,Maybe,Maybe,No,No,1,Yes,Maybe,Yes,Maybe,Somewhat open,Maybe,No,Yes,Yes,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Dev Evangelist/Advocate,Never
165,6,0.0,0.0,I don't know,I am not sure,Yes,No,I don't know,1,Maybe,Maybe,No,Maybe,Yes,No,1,Maybe,Maybe,Yes,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Netherlands,9,Supervisor/Team Lead,Never
166,6,0.0,0.0,I don't know,No,No,I don't know,Yes,1,Maybe,Maybe,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,Netherlands,9,Front-end Developer,Sometimes
167,6,0.0,0.0,Yes,Yes,No,Yes,I don't know,0,Maybe,No,No,No,I don't know,No,1,Maybe,No,Maybe,Maybe,Somewhat not open,No,I don't know,No,Maybe,No,0,Not applicable to me,Sometimes,4,Male,UK,9,Back-end Developer,Never
169,6,0.0,0.0,Yes,I am not sure,Yes,I don't know,I don't know,2,Maybe,No,No,Maybe,I don't know,No,1,Yes,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Maybe,No,No,Maybe,No,0,Not applicable to me,Sometimes,3,Male,Germany,9,Other,Sometimes
170,3,1.0,1.0,No,I am not sure,No,No,No,2,Maybe,Maybe,Yes,Maybe,No,No,1,Maybe,No,Yes,Yes,Somewhat open,Yes,No,No,Maybe,No,0,Sometimes,Sometimes,2,Male,Germany,9,Front-end Developer,Never
171,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,3,Maybe,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,8,Full track,Always
172,2,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,Maybe,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,3,Male,USA,3,Back-end Developer,Always
173,6,0.0,0.0,Yes,No,No,Yes,I don't know,3,Maybe,Maybe,No,Maybe,No,No,1,No,No,Yes,Yes,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,4,Male,USA,2,Full track,Sometimes
174,2,1.0,1.0,No,I am not sure,No,No,No,3,Maybe,Maybe,Yes,Yes,No,No,1,No,No,Yes,Maybe,Not open at all,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Male,USA,7,Front-end Developer,Never
175,3,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,2,Maybe,Maybe,Maybe,No,I don't know,No,0,Maybe,No,Yes,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,5,Front-end Developer,Sometimes
176,3,1.0,1.0,Yes,Yes,No,No,Yes,4,Maybe,No,No,No,No,No,1,Maybe,Maybe,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,7,Front-end Developer,Sometimes
177,3,1.0,1.0,I don't know,I am not sure,No,No,I don't know,2,No,No,Maybe,Maybe,I don't know,No,1,No,No,Maybe,Yes,Somewhat open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Female,USA,5,Back-end Developer,Always
178,2,1.0,1.0,No,I am not sure,Yes,No,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Yes,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Other,Sometimes
179,4,1.0,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,No,No,Very open,No,Yes,Maybe,Yes,Yes,1,Sometimes,Often,2,Male,USA,1,Dev Evangelist/Advocate|Back-end Developer|Support,Always
180,2,1.0,1.0,No,I am not sure,No,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,No,Very open,No,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer|DevOps/SysAdmin,Sometimes
181,4,1.0,1.0,I don't know,I am not sure,No,No,I don't know,3,Maybe,Maybe,No,No,Yes,No,0,Maybe,Maybe,Yes,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,DevOps/SysAdmin,Never
182,1,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,I don't know,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,No,Yes,No,Somewhat open,Yes,No,Yes,Maybe,Yes,1,Never,Often,2,Other,Netherlands,9,Executive Leadership|DevOps/SysAdmin|Back-end Developer|Support,Sometimes
183,5,1.0,1.0,No,No,No,No,Yes,1,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,No,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,1,Rarely,Sometimes,2,Male,Netherlands,9,Back-end Developer,Never
184,3,1.0,1.0,Yes,Yes,No,No,Yes,4,Maybe,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,Yes,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Male,USA,2,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
185,1,1.0,1.0,No,No,No,No,No,2,No,No,Maybe,Yes,No,No,1,Yes,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Back-end Developer|DevOps/SysAdmin,Sometimes
186,4,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,No,Somewhat open,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Sometimes
187,4,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,4,No,No,Yes,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe,Yes,Maybe,No,No,1,Not applicable to me,Not applicable to me,3,Female,USA,1,Other|HR,Never
188,6,1.0,1.0,Yes,No,No,I don't know,I don't know,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,No,Maybe,Very open,No,No,Yes,Yes,Yes,1,Rarely,Often,4,Male,USA,5,Support|Back-end Developer,Sometimes
189,5,1.0,1.0,Yes,No,No,I don't know,I don't know,1,Maybe,No,Maybe,Maybe,I don't know,No,1,Yes,No,Yes,Yes,Very open,Maybe,No,Yes,Maybe,Yes,1,Never,Sometimes,3,Male,USA,1,Supervisor/Team Lead|Back-end Developer,Sometimes
190,5,1.0,1.0,Yes,I am not sure,I don't know,Yes,I don't know,2,Maybe,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,2,Male,USA,7,Back-end Developer,Always
192,3,1.0,1.0,No,No,No,No,I don't know,3,No,No,No,No,I don't know,No,1,Maybe,No,Maybe,No,Somewhat not open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Germany,9,Back-end Developer,Sometimes
194,6,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,Maybe,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Yes,No,Yes,Yes,Yes,1,Sometimes,Often,4,Female,USA,2,DevOps/SysAdmin|Support,Sometimes
195,3,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,No,Yes,Yes,No,No,1,Yes,No,Yes,Maybe,Very open,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,UK,9,Back-end Developer,Never
196,4,1.0,1.0,I don't know,No,No,No,I don't know,2,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,Other,9,Supervisor/Team Lead|Back-end Developer,Sometimes
198,5,1.0,1.0,Yes,Yes,Yes,Yes,Yes,3,Maybe,No,Yes,Maybe,Yes,No,1,Yes,No,Maybe,Maybe,Neutral,Maybe,Yes,Yes,No,Yes,1,Rarely,Often,3,Male,USA,1,Executive Leadership|Supervisor/Team Lead,Sometimes
199,6,1.0,1.0,Yes,Yes,No,Yes,I don't know,4,Yes,Maybe,No,No,No,No,1,Maybe,No,Yes,Yes,Somewhat not open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,4,Male,USA,2,Supervisor/Team Lead|Back-end Developer,Sometimes
200,4,1.0,1.0,Yes,Yes,No,Yes,Yes,4,Maybe,No,Maybe,Yes,Yes,No,1,Maybe,No,Yes,Yes,Somewhat open,Maybe,Yes,Yes,Maybe,No,1,Sometimes,Often,3,Female,USA,4,Support,Always
201,3,1.0,1.0,I don't know,I am not sure,No,I don't know,Yes,1,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,No,No,Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Always
202,5,1.0,1.0,I don't know,No,No,I don't know,Yes,2,No,No,Yes,Yes,Yes,No,1,No,No,Yes,Yes,Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Full track,Sometimes
203,5,1.0,1.0,Yes,Yes,No,Yes,I don't know,2,No,No,Yes,Yes,No,Yes,1,No,Yes,Maybe,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Female,USA,1,Other,Sometimes
204,4,1.0,1.0,I don't know,I am not sure,No,No,I don't know,4,Maybe,No,Maybe,Yes,Yes,No,1,Yes,No,Maybe,Maybe,Somewhat open,Maybe,No,Yes,Maybe,No,1,Sometimes,Sometimes,2,Male,USA,6,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
205,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,No,2,No,No,Maybe,Maybe,Yes,No,0,Maybe,Maybe,No,No,Somewhat not open,I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,UK,9,Supervisor/Team Lead,Sometimes
206,5,1.0,1.0,I don't know,No,Yes,I don't know,I don't know,2,Maybe,No,Yes,Maybe,I don't know,No,1,Yes,No,Yes,Yes,Very open,No,Yes,Maybe,No,No,1,Sometimes,Often,3,Male,Other,9,Designer|Front-end Developer|Back-end Developer,Always
207,3,1.0,1.0,I don't know,No,No,No,I don't know,4,Maybe,No,No,No,I don't know,No,1,No,No,No,No,Very open,No,No,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,5,DevOps/SysAdmin|Back-end Developer,Always
208,2,1.0,1.0,No,No,No,No,I don't know,4,Yes,No,No,No,I don't know,No,1,Yes,Maybe,Maybe,Yes,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,4,Male,USA,5,Support,Always
209,4,1.0,1.0,Yes,I am not sure,No,Yes,I don't know,2,No,No,Maybe,Maybe,No,No,1,Maybe,Maybe,Maybe,No,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Dev Evangelist/Advocate,Always
210,5,1.0,1.0,No,No,No,No,I don't know,3,No,No,Maybe,Maybe,Yes,No,1,No,No,Yes,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Germany,9,Other,Sometimes
211,4,1.0,1.0,Yes,Yes,I don't know,I don't know,Yes,2,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,No,No,Neutral,No,Yes,Yes,No,Yes,1,Rarely,Sometimes,4,Male,USA,5,Supervisor/Team Lead,Always
212,1,1.0,1.0,Yes,No,No,No,I don't know,2,Maybe,No,Yes,Yes,I don't know,No,1,Maybe,No,Yes,No,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Female,UK,9,Supervisor/Team Lead|Back-end Developer|Front-end Developer|Designer,Sometimes
213,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,0,Maybe,Maybe,No,Maybe,No,No,1,Maybe,No,Yes,No,Somewhat not open,No,No,Maybe,Maybe,No,1,Often,Often,3,Male,Other,9,Support,Sometimes
214,5,1.0,1.0,I don't know,No,No,No,I don't know,3,Maybe,Maybe,No,Maybe,Yes,No,1,Yes,Maybe,Yes,No,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Back-end Developer,Sometimes
215,2,1.0,1.0,I don't know,No,No,No,I don't know,3,Maybe,Maybe,No,No,Yes,No,1,Maybe,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Back-end Developer,Always
216,5,1.0,1.0,I don't know,No,I don't know,I don't know,I don't know,0,Maybe,Maybe,Maybe,Maybe,No,No,0,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Other,Sometimes
217,3,1.0,1.0,No,I am not sure,No,No,I don't know,2,No,No,Maybe,Maybe,Yes,No,0,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Back-end Developer,Sometimes
218,5,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Maybe,Maybe,I don't know,No,0,Maybe,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Other|Back-end Developer|Front-end Developer,Never
219,6,1.0,1.0,No,No,No,No,No,2,Yes,No,No,No,No,No,0,Yes,No,Yes,No,Somewhat open,No,No,Yes,Yes,No,1,Rarely,Sometimes,2,Male,Other,9,Back-end Developer,Sometimes
220,3,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,No,No,Very open,No,I don't know,Yes,Yes,Yes,0,Never,Never,3,Male,Other,9,Executive Leadership|Supervisor/Team Lead,Never
221,3,1.0,1.0,Yes,No,No,No,I don't know,0,Maybe,No,Maybe,No,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Canada,9,Back-end Developer,Sometimes
222,4,1.0,1.0,I don't know,No,No,I don't know,I don't know,2,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,No,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,1,Back-end Developer,Never
223,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,Yes,2,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,No,Yes,No,Not open at all,No,Yes,Yes,No,Yes,1,Rarely,Often,2,Female,Other,9,Full track,Sometimes
224,4,1.0,1.0,Yes,Yes,No,No,Yes,2,No,No,Yes,Yes,Yes,No,1,Maybe,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer|DevOps/SysAdmin,Always
225,5,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,2,Maybe,No,Maybe,Maybe,Yes,No,1,No,No,Yes,Yes,Somewhat not open,No,Yes,Maybe,No,No,1,Never,Often,2,Female,USA,1,Support|Other,Always
226,3,1.0,1.0,I don't know,No,No,No,I don't know,2,Maybe,Maybe,No,No,I don't know,Yes,1,Maybe,No,Yes,Yes,Neutral,Yes,Yes,Yes,No,Yes,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Back-end Developer,Sometimes
227,3,1.0,1.0,No,I am not sure,No,No,No,2,Maybe,No,Maybe,No,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Other,9,Supervisor/Team Lead,Always
228,3,1.0,1.0,Yes,Yes,No,No,I don't know,3,Maybe,No,Yes,Yes,No,No,1,Yes,Maybe,Yes,Yes,Somewhat open,No,I don't know,Yes,Maybe,No,0,Often,Sometimes,3,Male,USA,8,Back-end Developer,Sometimes
229,4,1.0,1.0,Yes,Yes,No,Yes,I don't know,4,Maybe,Maybe,No,No,I don't know,Yes,0,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,2,Female,USA,1,Other,Never
230,3,1.0,1.0,I don't know,No,No,Yes,No,4,Maybe,Maybe,No,No,No,No,0,No,No,Yes,Yes,Not open at all,Maybe,I don't know,Yes,Yes,Yes,1,Never,Often,2,Female,USA,1,HR,Sometimes
231,6,0.0,0.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,No,No,1,Not applicable to me,Not applicable to me,2,Male,USA,5,Back-end Developer,Never
232,5,1.0,1.0,Yes,I am not sure,No,No,Yes,1,No,No,No,No,Yes,No,1,Yes,Maybe,No,No,Somewhat not open,I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Germany,9,Executive Leadership,Sometimes
